Renee Zellweger	Bee Movie	2007
Matt Dillon	Liar's Moon	1982
Frank Langella	Eddie	1996
Mickey Rourke	Year of the Dragon	1985
Gary Oldman	Mary	2019
Pete Seeger	The Power of Their Song: The Untold Story of Latin America's New Song Movement	2008
Marian Seldes	Crime & Punishment, USA	1959
Luke Wilson	Hoot	2006
Jennifer Jason Leigh	The Anniversary Party	2001
David Strathairn	Limbo	1999
Demi Moore	Half Light	2006
Charlize Theron	The Devil's Advocate	1997
Neve Campbell	Partition	2007
Orson Bean	One of Those Nights	1997
Michael Fassbender	Steve Jobs	2015
Nicolas Cage	Windtalkers	2002
Robert De Niro	The Bag Man	2014
Bill Paxton	Nightcrawler	2014
Nathan Lane	Mousehunt	1997
Tim Robbins	The Shawshank Redemption	1994
Ellen Page	To Rome with Love	2012
Sean Penn	A Constant Forge	2000
Kiefer Sutherland	The Three Musketeers	1993
Daniel Stern	City Slickers II: The Legend of Curly's Gold	1994
Robert Patrick	Eye of the Eagle	1987
Olympia Dukakis	Broken Links	2016
Jeff Bridges	Lost in La Mancha	2002
Tippi Hedren	The Storytellers	1999
Alec Baldwin	My Best Friend's Girl	2008
Morgan Freeman	Last Vegas	2013
Bob Balaban	I Am the Pretty Thing That Lives in the House	2016
Shea Whigham	Cop Car	2015
Kim Dickens	Truth or Consequences, N.M.	1997
Elizabeth McGovern	The Bedroom Window	1987
Joe Mantegna	The Bronx Bull	2016
Djimon Hounsou	The Middle Passage	2000
Jennifer Aniston	The Break-Up	2006
Brendan Fraser	Stand Off	2011
Diane Lane	Unfaithful	2002
Michael Berryman	Co-Ed	1980
Violante Placido	Ciao America	2002
Gabriel Byrne	A Soldier's Tale	1989
Tim Roth	The Incredible Hulk	2008
Mumia Abu-Jamal	Angola 3: Black Panthers and the Last Slave Plantation	2008
Sting	George Michael: A Different Story	2005
Michael Pare	Into the Sun	1991
Peter O'Toole	The Day They Robbed the Bank of England	1960
Dolph Lundgren	Shark Lake	2015
Justin Timberlake	Black Snake Moan	2006
Richard E. Grant	Horrid Henry: The Movie	2011
French Stewart	Love Stinks	1999
Joe Viterelli	A Walk in the Park	1999
Ben Johnson	Grayeagle	1977
Jimmy Kimmel	That's My Time: The Todd Lynn Story	2017
Scott Adkins	Re-Kill	2015
Lior Ashkenazi	Enemy Scoop	1999
Connie Nielsen	Return to Zero	2014
Missi Pyle	Miss Nobody	2010
Ian McElhinney	Sacrifice	2016
Lewis Black	Gahan Wilson: Born Dead, Still Weird	2013
Paul Rudd	A Question of Ethics	1992
Paul Sorvino	Detours	2016
Merritt Butrick	Wired to Kill	1986
R.G. Armstrong	Garden of Eden	1954
Jean Seberg	Les hautes solitudes	1974
Courtney B. Vance	Love and Action in Chicago	1999
Matthew Modine	Veer	2009
Rosanna Schiaffino	Ro.Go.Pa.G.	1963
James Avery	Directors on Directing 2: The Story of the Storytellers	2008
Peter Friedman	Coming Up Roses	2011
Dwight Yoakam	Bandidas	2006
Dustin Hoffman	Who Is Harry Kellerman and Why Is He Saying Those Terrible Things About Me?	1971
Clifton Collins Jr.	Transpecos	2016
Antonio Sabato Jr.	Bad Girl Island	2007
Raymond J. Barry	The Hammer	2010
Jan Niklas	Dr. M	1990
Jennifer Garner	Miracles from Heaven	2016
